legacy_id,new_id,note
10256,349,Shark Bite = Rocket Line Bite (confirmed same trick)
10183,,Chest to Feet is a distinct trick from Chest Roll to Feet - no equivalent
10191,,Soup to Feet is a distinct trick from Soup Roll to Feet - no equivalent
10253,98,NH Backflip = No-Hands Backflip (NH here means no hands, not no hook)
10161,212,180 Super Sonic Mount = 180 Supersonic
10181,305,Legacy split bounces into entry+exit; new X Bounce is the round trip - exit maps
10184,498,Legacy split bounces into entry+exit; new X Bounce is the round trip - exit maps
10180,410,Legacy split bounces into entry+exit; new X Bounce is the round trip - exit maps
10185,,Korean Bounce dropped - superseded by Korean to Feet -> Korean Bounce
10188,,Sit Bounce dropped - superseded by Sit to Feet -> Sit Bounce
10189,,Sofa Bounce dropped - superseded by Sofa to Feet -> Sofa Bounce
10187,,Chest Bounce - new catalog has no Chest bounce
10192,,Soup Bounce - new catalog has no Soup bounce
