legacy_id,new_id,tier,legacy_name,new_name
10000,322,exact,Sofa 270 Korean Roll,Sofa 270 Korean Roll
10001,373,exact,Side Sofa Roll,Side Sofa Roll
10003,404,exact,Sofa Roll from Korean,Sofa Roll from Korean
10004,128,exact,Hammock Roll,Hammock Roll
10005,372,exact,Sofa Roll,Sofa Roll
10006,492,exact,Belly Roll,Belly Roll
10007,146,exact,Chest Roll,Chest Roll
10011,324,exact,Korean Roll,Korean Roll
10012,405,exact,Back Korean Roll to Sofa,Back Korean Roll to Sofa
10014,497,exact,Expo Buddha Roll,Expo Buddha Roll
10015,144,exact,Fake 360 Korean Roll,Fake 360 Korean Roll
10016,374,exact,Panic Roll to Sofa,Panic Roll to Sofa
10017,148,exact,Backbounce to Chest Roll,Backbounce to Chest Roll
10018,335,exact,Backbounce Panic Roll,Backbounce Panic Roll
10019,414,exact,Backbounce Richy Roll,Backbounce Richy Roll
10020,129,exact,Double Hammock Roll,Double Hammock Roll
10021,336,exact,Back Roll Twist,Back Roll Twist
10022,375,exact,Sofa Roll 360,Sofa Roll 360
10023,125,exact,Hammock Roll from Feet,Hammock Roll from Feet
10024,495,exact,Korean 270 Spin to Back Belly Roll,Korean 270 Spin to Back Belly Roll
10025,135,exact,Back Roll Twist from Feet,Back Roll Twist from Feet
10026,328,exact,Back Korean Roll BS 180,Back Korean Roll BS 180
10027,143,exact,Nevermind BS 360 to Chest,Nevermind BS 360 to Chest
10028,154,exact,Double Double Drop Knee Roll,Double Double Drop Knee Roll
10029,368,exact,Inward Drop Knee Spin to Front Sofa Roll,Inward Drop Knee Spin to Front Sofa Roll
10032,140,exact,Sick Nasty to Chest,Sick Nasty to Chest
10035,141,exact,Sick Nasty to Chest Roll,Sick Nasty to Chest Roll
10036,474,exact,Nevermind,Catch to Feet
10037,365,exact,Half Back Roll,Back Roll to Shoulder
10038,136,exact,FS 360 to Chest,FS 360 to Chest
10039,394,exact,Antihero,Rocket Front-Flip to Sofa
10041,306,exact,NH Korean Roll from Feet,NH Korean Roll from Feet
10042,354,exact,Feet to Shoulder,Feet to Shoulder
10043,395,exact,Rocket Mount to Sofa,Rocket Mount to Sofa
10044,377,exact,Sick Nasty,Sick Nasty
10045,130,exact,Triple Hammock Roll,Triple Hammock Roll
10046,131,exact,Back Roll from Back to Back,Back Roll from Back to Back
10047,337,exact,Back Roll from Back,Back Roll from Back
10048,323,exact,Half Front Roll,Half Front Roll
10050,176,exact,Panic Roll to Feet,Panic Roll to Feet
10051,356,exact,Shoulder Roll,Shoulder Roll
10052,494,exact,Makako,Makako
10053,378,exact,FS 360 Butt Flatspin,FS 360 Butt Flatspin
10054,396,exact,Rocket Mount to Back Sofa Roll,Rocket Mount to Back Sofa Roll
10056,157,exact,Belly Roll to Feet,Belly Roll to Feet
10057,334,exact,Chest Roll to Front Roll,Chest Roll to Front Roll
10058,137,exact,FS 360 Roll Down to Chest,FS 360 Roll Down to Chest
10059,397,exact,Reverse Rocket Mount to Sofa,Reverse Rocket Mount to Sofa
10060,340,exact,Shrimpflip,Shrimpflip
10061,341,exact,Cordova Roll,Cordova Roll
10062,342,exact,Rocket 360 to Rocket,Rocket 360 to Rocket
10063,398,exact,Rocket Roll 180 to Sofa,Rocket Roll 180 to Sofa
10066,462,exact,Soup Roll to Feet,Soup Roll to Feet
10067,204,exact,Rocket Mount,Rocket Mount
10068,379,exact,Sick Nasty Roll,Sick Nasty Roll
10069,172,exact,Sofa 360 to Feet,Sofa 360 to Feet
10070,483,exact,Chest Roll to Feet,Chest Roll to Feet
10071,409,exact,Fake Sick Nasty Roll,Fake Sick Nasty Roll
10072,173,exact,Sick Nasty to Feet,Sick Nasty to Feet
10073,472,exact,Obi Wan,Obi Wan
10074,473,exact,Reverse Obi-Wan,Reverse Obi-Wan
10075,152,rule,Reverse Rocket Mount to Double Drop Knee,Reverse Rocket Mount to DDK
10076,293,exact,Double Drop Knee Roll to Feet,Double Drop Knee Roll to Feet
10077,338,exact,Hammock Back Roll,Hammock Back Roll
10078,366,exact,Half Back Roll to Shoulder Roll,Half Back Roll to Shoulder Roll
10079,487,exact,Back Roll to Feet,Back Roll to Feet
10080,307,exact,Front Roll from Feet,Front Roll from Feet
10081,147,exact,Chest Roll BS 360 Flatspin,Chest Roll BS 360 Flatspin
10082,381,exact,Half Nasty 180 Front Sofa Roll,Half Nasty 180 Front Sofa Roll
10083,399,exact,Rocket 180 Roll to Sofa Roll,Rocket 180 Roll to Sofa Roll
10084,309,exact,Orbital,Orbital
10085,298,exact,Backbounce Panic Roll to Feet,Backbounce Panic Roll to Feet
10086,308,exact,Back Roll from Feet,Back Roll from Feet
10087,362,exact,Rocket Mount to Shoulder,Rocket Mount to Shoulder
