Technical name,Name,Original performer,monthEstablished,yearEstablished,linkToVideo,Start position,End position,Difficulty,description,descriptionEs,tips,tipsEs,recommendedPrerequisites,dateAdded,isImportant,isVariationOf
Sofa Roll,,Samuel Volery,,2016,https://www.youtube.com/watch?v=Ugw1gRm-T0U,SOFA,SOFA,1,"Sit in Sofa, grab the line with both hands and press the line against your butt/thighs. Then throw yourself forward or backward, initiating the roll. To stop the roll, extend your legs.","Siéntate en sofá, agarra la línea con ambas manos y presiona la línea contra tu culo. A continuación, déjate caer hacia atrás.",Leash to the side can help prevent bad falls; If you fall into a backlever position let go of the line in order to save your shoulders; You can practice this trick with a hangover clipped in to save energy and get familiar with the movement without fear of falling badly,"La correa a un lado puede ayudar a prevenir las malas caídas; si se cae en una posición de espalda, suelte la línea para salvar sus hombros.",,1 Jan 2022,TRUE,
Belly Roll,,,,,https://youtu.be/ksF8g5YrXY8?t=230,BELLY,BELLY,1,With both hands on the line supporting your weight you lie on your belly and roll forward (or backward) around the line.,"Con las dos manos en la línea soportando tu peso, te tumbas sobre el vientre de manera perpendicular y ruedas hacia delante alrededor de la línea.",You can try this trick clipped into the hangover first to save energy while familiarizing yourself with the movement.,,,1 Jan 2022,TRUE,
Chest Roll,,,,,https://youtu.be/ksF8g5YrXY8?t=182,CHEST,CHEST,1,"From lying on your chest get some momentum with your free arm and leg, hook the line with one foot and then roll around the line grabbing it with both hands. Land back in chest.",Desde el pecho toma impulso con la pierna libre y luego rueda alrededor de la línea agarrándola con ambas manos. Aterriza de nuevo en el pecho.,"You can wrap the foot around the line to avoid falling away from the line. Alternatively, you can press it against the line from below; You can try this trick clipped into a hangover at first to familiarize yourself with the movement.",Puede envolver el pie alrededor de la línea para evitar que se caiga de la línea.,,1 Jan 2022,TRUE,
Korean Roll,,,,,https://youtu.be/ksF8g5YrXY8?t=135,KOREAN,KOREAN,1,"Sit in Korean, grab the line with one hand in front of you and one hand behind you and let yourself fall to the side. Land back in Korean.","Siéntese en Korean, agarre la línea frente a usted con ambas manos y déjese caer hacia un lado.","Start the movement while the line moves upwards; You can try this trick clipped into a hangover first; Sometimes called ""Harry Potter Roll""","A veces llamado ""Rollo de Harry Potter""",,1 Jan 2022,TRUE,
Sofa 270 to Korean,Panic,,,,https://www.youtube.com/watch?v=12HbVhoFloM,SOFA,KOREAN,1,"From Sofa you start a 180 FS spin, grab the line on your side with both hands and swing the far leg over the line to land in Korean.",Desde el Sofá agarras la línea de tu lado con ambas manos mirando hacia el mismo lado. Si vas a la izquierda quieres balancear tu pierna derecha sobre la línea haciendo un 270 (180 si empiezas desde Butt) aterrizando en coreano.,Keep your center of gravity above the line.,Es un rollo de pánico sin el rollo.,,1 Jan 2022,TRUE,
Hammock Roll,,Samuel Volery,,2016,https://www.youtube.com/watch?v=maY2RjAJs1g,BACK,BACK,2,Lie on your back and grab the line behind your head with both hands. Hook one foot under the line and roll around the line landing again in Backbounce.,Túmbate de espaldas y agarra la línea por detrás de la cabeza con ambas manos. Engancha un pie bajo la línea y rueda alrededor de la línea aterrizando de nuevo en Backbounce.,"As soon as you rotated all the way, let go with your hands and put your arms to the side to stop the roll. Letting go of the line feels counterintuitive, but it really helps to land the trick.",,,1 Jan 2022,TRUE,
Sofa 270 Korean Roll,Panic Roll,Jediah Doohan,,,https://www.youtube.com/watch?v=12HbVhoFloM,SOFA,KOREAN,2,Sit in Sofa position grab the line to the side of you with hands facing behind you. On the way up in the bounce dive down where your hands are and roll around the line. Land in Korean or Chest. Essentially you perform a 270 spin combined with a roll around the line.,"Siéntate en posición de sofá y agarra la línea a tu lado con las manos mirando hacia atrás. Al subir, sumérgete donde están tus manos y rueda alrededor de la línea. Aterriza en coreano o en pecho.",It helps to separately practice the spin of the leg (Panic) and the roll around the line and then work to combine both at the same time.,,10225,1 Jan 2022,TRUE,
Side Sofa Roll,Utinni Roll,Michele Eibeck,,2021,https://www.instagram.com/p/CNYQEb4Jt1M/,SOFA,SOFA,2,Start in Sofa. Both hands next to you (right or left) holding on to the line. Then do a Sofa Roll with your body leaning towards the line where your hands are. To land the trick put the hands back to normal as you would when sitting in Sofa.,Comienza en el sofá. Las dos manos a tu lado (derecha o izquierda) sujetándose a la línea. Luego haz un Sofa Roll con tu cuerpo inclinado hacia la línea donde están tus manos.,,Manténgase pequeño y compacto durante el rodaje.,10005,1 Jan 2022,FALSE,10005
Sofa Roll from Korean,Richy Roll,Richard Schupisser,,,https://youtu.be/7kZjIAVYoyY?t=161,KOREAN,SOFA,2,From Korean swing one leg over the line and immediately after you start the leg swing initiate a roll to finish as a Sofa Roll.,Desde korean déjate caer hacia un lado e inmediatamente después de empezar el roll balancea una pierna sobre la línea para terminar el rollo como un sofa-roll,Be comfortable with Sofa Rolls first.,,10005,1 Jan 2022,TRUE,
Back Korean Roll to Sofa,,Sakalomo,,2021,https://youtu.be/7yLCyoHgUS0?t=783,KOREAN,SOFA,3,"Do a Back Korean Roll with both hands in front. During the roll, pass the front leg between you and the line to land in Sofa. ",Inicia el movimiento de un back korean roll pero pasa una pierna por delante para terminar en sofa al final del roll,,,,1 Jan 2022,FALSE,10011;10003
Expo Buddha Roll,,Eli Ellis,,2020,https://youtu.be/hsALSrUdryU?t=29,BUDDHA,BUDDHA,-1,"Sit in Expo Buddha, grab the line both hands on the sides, roll around the line, land again in Expo Buddha.","Roll con las piernas cruzadas en forma de buda , una mano alante y otra atras. si es en expo una mano a cada lado ",,,,1 Jan 2022,FALSE,10005
Fake 360 Korean Roll,Flowflip,,,,https://youtu.be/12HbVhoFloM?t=199,KOREAN,CHEST,2,"From Korean, combine a 360 spin with a Korean roll around the line. Either start or land in Switch Korean. Similar to a Panic Roll but you start from Korean turned 90 further away to where you want to go.","Es similar a un panic roll, pero empiezas desde korean girado 90 más lejos de donde quieres ir.",Learn how to do a Panic Roll first. Then think of it as a Panic Roll from Korean.,Agarra la línea a tu espalda y déjate caer hacia atrás. El resto ocurre por arte de magia.,10000;10224,1 Jan 2022,TRUE,
Panic Roll to Sofa,,Salomé Cholet,,2021,https://youtu.be/7yLCyoHgUS0?t=491,SOFA,SOFA,3,Do a Panic Roll but before you land throw your second leg on the other side of the line as well to land back in Sofa.,Haz un panic roll pero antes de aterrizar lanza tu segunda pierna al otro lado de la línea también para aterrizar de nuevo en Sofá.,,,10000,1 Jan 2022,FALSE,10000
Backbounce to Chest Roll,,,,,https://www.youtube.com/watch?v=ih6Rx-UpBfw&t=478,BACK,CHEST,2,From Backbounce move forward like you are going to Chest but add a Chest Roll.,Desde el Backbounce muévete hacia delante como si fueras a hacer Chest pero añade un Chest Roll.,,,10007,1 Jan 2022,FALSE,10007
Backbounce Panic Roll,,,,,https://www.youtube.com/watch?v=LPsuhcOZd0Q,BACK,KOREAN,3,From Backbounce swing one leg to other side and then perform a Panic Roll in the opposite direction. ,Desde el Backbounce gira una pierna hacia un lado y rueda alrededor de la línea del otro lado para realizar un Panic Roll.,,,10000,1 Jan 2022,FALSE,10000
