Submitted on,Technical Name,Name,Original performer,Original date performed,Video link,Start position,End position,Difficulty,Description,Do you have any tips?
03/12/2022 20:14:59,Expo 360 to Back Yoda Roll,Yodel Roll,Tim Odermatt,17/04/2022,https://www.instagram.com/p/CcdNbmCAWsw/,EXPOSURE,EXPOSURE,8,From Exposure do a 360 and grab the line. Then go into a Back Yoda Roll.,
03/12/2022 20:20:01,Nevermind 360,,Tim Odermatt,26/05/2022,https://www.instagram.com/p/CeCNKq5Fqyc/,NEVERMIND,STAND,7,From Nevermind go up spinning frontside 360 and land back in your normal stance.,
03/12/2022 20:25:31,Neverending Yoda Rolls,Infinity,Tim Odermatt,07/01/2022,https://www.instagram.com/p/CYcI_IRAxQK/,EXPOSURE,EXPOSURE,9,Start out as you would for a one bounce Yoda Roll but then keep rolling. Never stop!,Tim invented this trick when going for a one bounce Double Back Yoda Roll.
03/12/2022 20:29:20,Double Back Han Solo,,Tim Odermatt,06/06/2022,https://www.instagram.com/p/CejUEcrlg2K/,EXPOSURE,EXPOSURE,8,Similar to a Double Back Yoda Roll but grabbing the leash instead of the line.,
03/12/2022 20:35:03,Can of Soup to Backflop,Soup Backflop,Tim Odermatt,18/06/2022,https://www.instagram.com/p/Ce8WJ4YlvTr/,SOUP,KOREAN,8,Do a Can of Soup into a Backflop in the same bounce.,
03/12/2022 20:43:40,Backflip Late 180,,Tim Odermatt,24/07/2022,https://www.instagram.com/p/CgZsOA1l2eG/,STAND,STAND,9,Do a Backflip but then passing Exposure you add a 180 before landing the trick.,Think about landing the normal Backflip in switch so when you add the 180 you are back in your normal stance.
03/12/2022 20:45:37,Barrel Roll to Backflop,Barrelflop,Tim Odermatt,15/07/2022,https://www.instagram.com/p/Cge6C4VFUPm/,STAND,KOREAN,8,Do a Barrel Roll and add a late Backflop.,
03/12/2022 20:54:58,Double Back Yoda Roll 180,Yodermatt,Tim Odermatt,26/08/2022,https://www.instagram.com/p/Ch8Ca0GPEOG/,EXPOSURE,EXPOSURE,9,Double Back Yoda Roll with a 180 in the second Roll.,
03/12/2022 21:06:08,NH Shapeshifter to Feet,Legolas,Tim Odermatt,24/09/2022,https://www.instagram.com/p/Ci5NrdeJqa6/,EXPOSURE,EXPOSURE,9,Jump into the leash doing a frontflip from Exposure then use your foot to step into the leash and then back on the line.,
03/12/2022 21:27:31,Triple Front Yoda Roll,,Emil Breuer,12/07/2022,https://www.instagram.com/p/Cf6TRhogHtO/,EXPOSURE,EXPOSURE,9,Three Front Yoda Rolls in one bounce.,
